Number of players, Shortest game, Longest game, Average game
2,					 32, 			 509,		 169.39

3,					 63, 			 820,		 244.80

4,					 42, 			 783,		 262.25

5,					 54, 			 978,		 304.11

6,					 65, 			 1098,		 297.10

7,					 63, 			 1094,		 306.29

8,					 97, 			 815,		 311.43

9,					 103, 			 784,		 322.06

10,					 103, 			 784,		 329.93

11,					 107, 			 766,		 323.08

12,					 94, 			 831,		 327.92

13,					 91, 			 837,		 344.12

14,					 95, 			 1346,		 344.26

15,					 78, 			 988,		 333.91

16,					 97, 			 916,		 309.84

17,					 141, 			 937,		 311.22

18,					 116, 			 933,		 352.10

19,					 102, 			 1133,		 348.11

20,					 112, 			 1200,		 355.32

